,cell_id,rec_id,roi_id,cell_type,angles_btw_RFcenter_and_DensityCenter,angles_btw_RFcenter_and_SomaPos,dendritic_distance_to_soma,euclidean_distance_to_density_center,offset
294,20161110_1,1,3,0,25.38919761432341,49.36557569575419,74.33492923568582,26.803840681116423,22.61048921964957
295,20161110_1,1,4,0,50.22370141815412,3.1154428659854734,88.31859919068644,32.51327182271091,10.725771185324849
296,20161110_1,1,5,0,98.77289614622742,48.284002416487084,90.58905128292568,33.51983199750641,10.49083937818937
297,20161110_1,1,6,0,20.047386190250172,25.98695529060157,94.46495544594637,35.624432124853975,22.039366568510633
298,20161110_1,1,7,0,39.99720470331273,2.4345860230213425,97.78995555323476,36.71062466371283,14.141689057063182
299,20161110_1,1,8,0,29.233091037788668,9.791722314762836,101.650882376439,38.05720711781946,19.35115648076791
300,20161110_1,1,9,0,3.231429777472073,68.48407783735344,79.8590381563377,28.884371777469,11.715448953188726
302,20161110_1,1,11,0,6.015250008558025,21.988387986504122,121.56100725289997,50.04292368837103,33.38255293376035
308,20161110_1,2,1,0,23.99884888043133,41.93802037331119,28.802136739918776,48.12336961735618,34.44294561814474
309,20161110_1,2,2,0,1.9775968759653544,81.61654407302849,69.12902502974978,26.95082541440817,9.091005100254252
310,20161110_1,2,3,0,24.673825371282483,39.86115956521757,24.49393189645687,47.95971095942962,31.595695704612393
311,20161110_1,2,4,0,4.281542454247612,61.102549329779556,31.07258883215796,48.46505132467249,22.138813604312208
312,20161110_1,2,5,0,26.66536133316323,41.84982317854906,38.520354538307274,47.07939715042404,35.59168537753974
313,20161110_1,2,6,0,29.443746647275955,49.01305540857746,45.33171081502483,41.99617034896739,36.65488640394277
314,20161110_1,2,7,0,36.19878679095086,51.72158347979093,60.78806737069214,30.711500754231572,16.92067085343915
315,20161110_1,2,8,0,28.90288521367026,96.41548720157331,34.758546341011915,47.76513956397208,29.890031790825578
316,20161110_1,2,9,0,29.0429393065528,52.36545833024633,50.92716301455236,38.6167578719937,21.283687311631176
317,20161110_1,2,10,0,0.9908764258810517,77.63757871976473,73.0049291927705,27.123102860942367,8.62263043681938
319,20161110_1,2,12,0,30.088510953672998,117.23308089293187,64.38851950584665,28.407361753780844,3.8205591105493086
321,20161110_1,2,14,0,101.6587019854861,53.3951968984237,92.46995538157339,35.108000306401024,13.873388901558322
322,20161110_1,2,15,0,2.7881048667828385,82.61691023538644,52.92216307892541,36.28589091987467,11.238431113175572
324,20161110_1,3,1,0,50.90147178442451,100.14369717386336,66.763747652643,56.62431541365045,23.39741268827008
325,20161110_1,3,2,0,82.90795126828358,124.96943604175694,80.93736426181044,62.799790206195176,15.650454046712953
326,20161110_1,3,3,0,69.34515009868662,112.28606705685328,79.99691221248659,61.68215312988589,10.222224296700018
328,20161110_1,3,5,0,11.652361605707462,25.84552898994753,96.640582253318,66.2785643880021,2.3221860541299173
329,20161110_1,3,6,0,53.65140185416546,101.06815352591231,69.69919976633987,58.13770823231038,17.123230043199786
330,20161110_1,3,7,0,70.08367953950479,107.57259190465723,93.31558214602964,67.57474798043962,6.933648880761623
331,20161110_1,3,8,0,8.65784629085871,48.9159887846126,85.95332181357975,64.62563757415487,15.967606120851451
332,20161110_1,3,9,0,60.44404132893158,98.89243841116016,89.82922597660044,66.92690123956196,17.876708369120472
333,20161110_1,3,10,0,24.94317596935564,7.978766092882058,112.77528568027408,71.21591164512284,3.7313934600372005
335,20161110_1,3,12,0,110.67897376254544,145.76539894733924,105.57519665495768,68.14588777944655,6.5645867995138385
336,20161110_1,3,13,0,68.53194816524964,36.61218947237475,117.63439457946833,71.89656666259192,11.852407214983927
337,20161110_1,3,14,0,50.363538676758914,94.53053856794432,75.84555602159973,61.021383317057314,10.421445223402106
338,20161110_1,4,1,0,57.8774240448999,37.598104941431835,150.67032853036807,126.01004041228602,12.813612538959257
339,20161110_1,4,2,0,12.476898028448666,10.28419883637731,134.66388316396123,113.73671061903057,45.98406773668217
341,20161110_1,4,4,0,37.718857478765905,10.81247154333899,116.14067311208919,97.45895238376694,29.360146746614664
344,20161110_1,4,7,0,146.6641586930005,122.12841308835199,129.6558024673994,105.15048701434226,24.255034980960144
345,20161110_1,4,8,0,114.29693041106636,90.20283651525367,132.1867292476883,106.96242438267099,26.859435423067893
351,20161110_1,4,14,0,7.885369553232088,13.057225420553255,146.08667165904012,122.59350560886983,33.692276647387686
357,20161110_1,5,2,0,22.153038089472762,16.663094113444828,210.01149754355293,100.79717762727905,32.04623082744942
362,20161110_1,5,7,0,28.119796126259338,22.84572661094495,213.33649765084124,104.07315866662628,38.927584952065665
371,20161110_2,0,0,0,6.7485909715572046,,0,61.5439256965752,50.137173566680495
373,20161110_2,1,2,0,44.21529596850158,110.78468600224467,75.67511377527718,60.88400692040637,31.018569931492944
380,20161110_2,1,9,0,42.86001619998797,129.92480159103022,51.746398178044295,55.62925337671168,56.19296311183124
383,20161110_2,1,12,0,69.51154538980347,132.13059293729702,88.32878368736256,59.212264173731285,6.112169292618999
389,20161110_2,1,18,0,35.32068032586831,17.677778489806983,105.4784257644769,64.20098097126197,47.04100077712612
414,20161110_2,3,1,0,76.73419655196342,68.1830347583983,133.8680558328083,47.583926704692644,16.219922768255998
416,20161110_2,3,3,0,72.59908830680064,64.48631226532586,129.87805570406226,43.72737686604211,9.232539089102188
424,20161110_2,3,11,0,107.15611651689954,127.6487348029389,113.5785864906282,31.14334001118581,13.321846699917847
427,20161110_2,3,14,0,117.13054899379708,134.24657727301687,118.14726602213982,33.47543414960395,1.8857875475457062
433,20161215_1,0,0,0,11.329674531268367,,0,68.81090599819886,61.148807513243206
434,20161215_1,1,1,0,63.023793373570214,163.40527734933576,87.38613264697717,18.322173782707292,13.804652863736235
435,20161215_1,1,2,0,54.73729543742656,163.34010259476113,79.98111962767754,23.250101698416305,18.325125001813042
436,20161215_1,1,3,0,40.84297970166346,179.02446340777442,82.95932442822412,21.056278903326117,18.1781308081977
437,20161215_1,1,4,0,163.54469936746636,120.39112867635892,110.30756032557633,16.32374461405388,1.4176472650610297
439,20161215_1,1,6,0,63.575602304065775,177.42478963792018,91.537488837864,19.15174164095498,19.013171744216734
440,20161215_1,1,7,0,104.6584408965869,57.637375848741634,113.78626576348086,12.867766802162032,9.071394123481923
441,20161215_1,1,8,0,57.85334054384651,173.48300355977378,91.18618612155637,15.486630651275354,13.861699570272425
443,20161215_1,1,10,0,51.410693440694814,14.723477079472042,128.32398309617278,23.516686783034196,6.460551579321109
444,20161215_1,1,11,0,97.02520730786146,178.4406222661745,105.72390345424829,18.474653990679023,13.63110554815754
445,20161215_1,1,12,0,98.54774312042593,150.4896371375512,96.82439100793357,13.353322509853479,10.757303280740631
446,20161215_1,1,13,0,158.85339458470477,157.34905457022498,123.78307891169445,20.300109869173024,13.257724353849074
447,20161215_1,1,14,0,109.83957767282446,51.18118837241475,110.18581362832629,10.317863424923074,10.876676459127955
448,20161215_1,1,15,0,166.73843941415194,101.66289559409576,101.91619924814427,11.31706171635059,12.52793841032178
449,20161215_1,1,16,0,62.918028075331875,67.87512985314328,83.46747579710674,23.666053206224262,10.23342990510813
452,20161215_1,1,19,0,133.10131921223962,82.3829262578665,120.57217477013141,18.614014566645054,8.549660413268985
453,20161215_1,1,20,0,15.56379691541363,82.73984922471216,114.4258185148715,15.871145536420855,9.283243634458975
455,20161215_1,2,1,0,25.59302947900897,19.64851468268769,153.70573055282438,64.01946446805741,33.96636131855749
456,20161215_1,2,2,0,36.122879055012724,13.691115585577345,143.29473738594496,62.45191560500529,40.51292757841193
460,20161215_1,2,6,0,26.610984323460865,14.97824498920187,165.00991567261224,62.49804907427778,44.563749708231
467,20161215_1,3,1,0,83.49653403649187,161.63741124636428,98.11163836399929,52.95693751355438,17.844295040470595
468,20161215_1,3,2,0,63.724542155450884,147.7315326399419,89.55295870374161,53.666153155291134,17.21905300566928
469,20161215_1,3,3,0,40.961982567585544,106.11047129777263,112.93446240981524,61.89667992772774,21.32055592625308
470,20161215_1,3,4,0,63.02410683110717,157.07926169082018,82.19069837129175,50.65976619044035,28.214231378695025
471,20161215_1,3,5,0,12.878244963292504,60.43636169129102,99.73206777459725,59.24603197247318,11.030083059662068
472,20161215_1,3,6,0,62.41705329638715,148.56986394258715,87.28250661150244,53.56859462138631,28.42957743973917
473,20161215_1,3,7,0,2.348392365305184,84.15858676110854,93.41388552694585,52.922847500538964,17.363724155786564
474,20161215_1,3,8,0,18.098813406906256,85.97947950919084,106.65984809400629,64.51034357390024,22.443126854337056
475,20161215_1,3,9,0,28.025240494193522,97.88158134070272,103.5929945978015,62.535122181597465,11.033694741798561
476,20161215_1,3,10,0,30.930698685086526,93.82999977296745,115.91266721036182,63.913568021885446,20.481999709681265
478,20161215_1,3,12,0,37.53350504705286,110.53892952727013,103.4030479436347,55.32344924433183,21.2568929854768
479,20161215_1,3,13,0,1.6439412114013399,51.90871636166697,141.73371202182608,82.59398415173399,29.555218639054168
480,20161215_1,3,14,0,21.731075069944126,79.47761546680185,123.62090760456087,68.78275236658791,25.057905275051404
481,20161215_1,3,15,0,11.727158921472801,71.40741478727654,117.96854062335984,71.29648379590769,29.63318845353609
482,20161215_1,4,1,0,14.533699544460182,33.09520566848362,235.0245071539438,102.42678975021077,34.20192811395692
483,20161215_1,4,2,0,12.446175254615508,7.2240129942627584,208.98163927443252,83.13330499322349,15.106658030238764
484,20161215_1,4,3,0,0.7791080385540742,17.998965879424247,229.0680975528507,97.85257406341161,40.06306048839221
485,20161215_1,4,4,0,5.466806173743516,23.945667619347226,215.56029621013357,88.17287562923305,17.007870521823172
486,20161215_1,4,5,0,3.195411065430266,15.607181364831648,221.35985715865166,92.322671670498,18.29558072392558
487,20161215_1,4,6,0,5.154740000283747,23.896537152805674,226.24674140487917,95.39957303765858,27.64197827473258
488,20161215_1,4,7,0,0.8272431700194892,18.107514406144464,249.55457375511108,114.21052846853267,41.830301553058895
489,20161215_1,4,8,0,14.70815512832816,33.1493608128964,238.94316400381422,105.55271192443715,34.12732158366025
490,20161215_1,4,9,0,20.02000034762656,37.13213930035562,259.3441348323752,121.51340334462957,45.97195012470039
492,20161215_1,4,11,0,4.940467722378625,14.030920799859743,211.9170913881294,85.57504676625446,25.92895715703745
493,20161215_1,4,12,0,8.995424621384274,26.578787484638273,246.6191216414142,111.47148289777776,33.99921467722641
496,20161215_1,5,1,0,51.61157335542418,23.692368031805458,225.12332693228717,121.26644002363457,34.59227168499593
497,20161215_1,5,2,0,79.26205347074446,47.43794044887502,201.6563178525141,106.2492803235802,25.452955257292853
498,20161215_1,5,3,0,63.336422981814,34.51745422044987,220.1501220673676,117.62505379802963,16.77126529441008
499,20161215_1,5,4,0,93.82271981207566,63.350303120118625,210.2900329562205,111.90155109935823,22.050746788869112
500,20161215_1,5,5,0,40.893500320216205,11.092172463330472,214.36553845866595,114.29335996727224,26.275190785173645
503,20161215_1,5,8,0,64.30973232690448,35.97549210383573,222.4205741596068,119.17269384685859,30.42579363634618
504,20161215_1,6,1,0,8.854347802580905,55.51516736315772,97.83041124947303,67.55709509374446,39.146365034734124
505,20161215_1,6,2,0,14.713841701677268,79.68037813256726,90.65809757118987,69.64268593650534,18.97430788442495
508,20161215_1,6,5,0,33.34080192934787,25.152056188622097,125.86513587139855,32.28723303690113,20.985431551100376
509,20161215_1,6,6,0,49.718711233984905,114.95364561529261,88.11219345108458,70.31607246438972,28.080430011637873
510,20161215_1,6,7,0,147.31809770648516,139.10986179386816,108.49955102743607,56.47765875960282,8.973709766345541
511,20161215_1,6,8,0,8.67087560267722,71.33345840458445,103.53818018037404,36.11842313600417,34.72740334402316
515,20161215_1,6,12,0,34.51923503782138,100.27089744629079,84.3653625936057,70.8993894445125,7.261514043237305
520,20161215_1,6,17,0,139.60622602227025,68.44770358377554,111.20230380011643,57.924817949228306,15.921063839061848
524,20161215_1,7,1,0,7.992917949093205,62.74253149913171,49.229252425527704,72.79023070174154,62.557372204686224
525,20161215_1,7,2,0,22.12980120985331,83.6485316442949,44.38512086614988,59.499530798967996,46.96736922764907
529,20161215_1,7,6,0,18.24382027026809,170.15261207750942,55.21188585202236,40.72181138857442,26.89493098796106
532,20161215_1,7,9,0,11.984106147825193,143.4644465507084,48.99500156287951,44.18105837435359,19.23807001500593
533,20161215_1,7,10,0,44.189378713580645,164.58093941684496,67.12470505420862,42.62566476265152,37.64456319757355
542,20161215_1,8,1,0,53.32510475645722,36.00566630717295,236.43802067198385,84.07456365789128,34.60350089498915
543,20161215_1,8,2,0,19.065723381734113,2.9964235019876804,241.36847285005368,86.81427804188831,39.38297356477893
545,20161215_1,8,4,0,50.954797920484175,35.88845794386465,245.7653263891738,88.18102225286515,34.6457332306698
546,20161215_1,8,5,0,49.910757275267336,39.678585951215204,268.92774400644043,96.66379380186106,27.91951437735967
548,20161215_1,8,7,0,57.21820560348324,45.33740832023604,261.74181707594784,92.99919967899045,39.76897667659261
550,20161215_1,8,9,0,21.394483846805286,2.4228473018644983,227.97845963763507,77.47193781917862,46.41313580657932
552,20161215_1,8,11,0,0.6078981596374115,16.930690817465464,233.50256855828698,81.35441694422359,42.82511384014925
556,20161215_1,9,1,0,12.128505857598281,2.0902300467410493,203.6466230732966,77.7822031824165,18.920047988962192
557,20161215_1,9,2,0,98.94339105644528,90.630630936613,190.94760599501694,66.16957027050574,3.697553718319986
558,20161215_1,9,3,0,21.059624341844938,10.82902052457993,177.0825394153074,54.7575618779901,8.830692079063667
559,20161215_1,9,4,0,31.83169431892355,22.484515794421707,184.09349703144966,60.380130391912196,12.522339151888307
560,20161215_1,9,5,0,67.64059550137667,58.36354737540045,173.43933459330316,52.4602841014011,9.57861533275235
562,20161215_1,9,7,0,33.85361796911001,24.995306716206713,189.06670189636924,64.56611082721803,6.971920457368788
563,20161215_1,9,8,0,14.05181446040542,2.177755325695429,196.1275140882717,73.2346821941016,15.652416486094504
565,20161215_1,9,10,0,14.596471580159134,3.8548360103484067,201.65162300892362,77.50156246592245,30.030951806349798
567,20161215_1,9,12,0,34.31160631483199,24.97377928845596,205.9170751655358,78.76725713099233,32.9847618496742
