,exp_date,recording_id,roi_id,type,dendritic_distance_to_soma,euclidean_distance_to_density_center,sRF_asd_upsampled_cntr_size_60,cntrs_offset_calibrate_to_rois_60,cntr_quality_60,sRF_asd_upsampled_cntr_size_65,cntrs_offset_calibrate_to_rois_65,cntr_quality_65,sRF_asd_upsampled_cntr_size_70,cntrs_offset_calibrate_to_rois_70,cntr_quality_70,cntr_quality
1343,20171203_1,3,8,0,187.8597611378,133.9848593261,8.5877510215,9.5707064045,1,7.1320853304,11.0779458943,1,5.8362747479,15.8078316922,1,1
1344,20171203_1,3,9,0,175.5829354984,125.9400327269,9.5041006976,4.2420647102,1,7.8201973507,6.323238509,1,6.3541732362,9.5672662383,1,1
1345,20171203_1,4,1,0,68.3999219075,31.8840520004,21.9567712622,5.1228840714,1,17.5998876462,4.0413005822,1,13.9501253117,10.1876838726,1,1
1346,20171203_1,4,2,0,45.4648662019,30.3504898767,26.1685026135,13.6622598918,1,21.4718345405,10.2988887858,1,17.356882061,15.9963071419,1,1
1347,20171203_1,4,3,0,49.3677836488,28.811999448,18.6643774587,16.7184800363,1,15.1973637286,11.0716693408,1,12.212131821,7.5038115801,1,1
1348,20171203_1,4,4,0,62.7444481015,33.6201453475,24.1439868813,12.3081156125,1,19.8484182664,14.4867679873,1,16.0687847807,7.2374679021,1,1
1349,20171203_1,4,5,0,60.7749068621,34.9444671034,32.3333022296,0,0,22.492541023,10.4886455234,1,17.4940581426,15.8361735408,1,0
1350,20171203_1,4,6,0,55.6396137737,29.162062352,6.9181283702,230.0354638248,1,5.4649248256,230.5117172596,1,4.1243669001,238.3795081274,1,1
1351,20171203_1,4,7,0,55.324142902,33.3196810894,43.3294601121,0,0,29.7061601474,0,0,17.9954940382,7.6199951092,1,0
1352,20171203_1,4,8,0,67.8039076527,33.5098957709,33.6727362059,0,0,21.6848182692,0,0,16.6392964918,0,0,0
1353,20171203_1,4,9,0,57.3618810026,34.804580603,65.3782840965,0,0,40.8223078132,0,0,33.3896016647,0,0,0
1354,20171203_1,4,10,0,45.4491624963,25.8632512419,36.061682354,0,0,25.4572899893,0,0,11.5937451766,0,0,0
1355,20171203_1,4,11,0,40.516409485,24.7008979049,33.3304077434,0,0,24.4118580539,0,0,14.5692513467,0,0,0
1356,20171219_1,0,0,0,0,14.7138835943,15.1956416669,0,0,2.7249289723,107.4352588964,1,0,0,0,0
1357,20171219_1,1,1,0,89.8256989826,57.2869780111,19.3754433768,13.0893793624,1,15.5066533487,10.7020991859,1,12.3473598111,12.1107620578,1,1
1358,20171219_1,1,2,0,72.9020695043,42.3436392999,26.1622995606,19.8610427271,1,20.8399113999,18.7057885965,1,16.3025913954,20.5056943648,1,1
1359,20171219_1,1,3,0,92.6470551305,60.0470283763,26.6302460026,13.5274304742,1,21.3513468667,9.5390975261,1,16.8738997834,9.2861536856,1,1
1360,20171219_1,1,4,0,83.5179866652,51.9336822719,20.1015794602,13.4695778443,1,16.3332006582,11.5602670097,1,13.0664871871,14.1436906972,1,1
1361,20171219_1,1,5,0,69.6911653627,39.8104890581,22.3589367061,5.8759459555,1,18.041079274,4.7778790235,1,14.2696189242,9.2369599219,1,1
